Strategy;nUAV;nPOIs;min;q1;median;q3;max;mean
KIMPOverNSN;2;20;349.5;4527.5;7453.5;10788.5;15872.0;7507.50675584
KIMPOverNSN;4;20;349.5;7034.0;17523.0;36259.0;73540.0;23509.8218214
KIMPOverNSN;8;20;342.5;7136.5;18276.75;41026.5;91444.5;26432.3943092
KIMPOverNSN;16;20;339.5;7410.5;18905.0;44557.5;100455.0;29639.5661523
TSPbased;2;20;528.0;2315.0;4468.0;6636.5;8420.5;4364.9551082
TSPbased;4;20;525.5;2395.0;4367.0;6334.0;8362.0;4338.6925887
TSPbased;8;20;533.5;2413.5;4481.5;6564.0;8340.5;4500.34474459
TSPbased;16;20;546.0;2488.0;4568.5;6711.5;8414.5;4572.24320402
ZigZagOverNSN;2;20;349.5;3300.5;5991.5;8792.5;14152.5;6270.81089835
ZigZagOverNSN;4;20;347.5;2712.5;5297.0;7506.0;13883.5;5356.66566411
ZigZagOverNSN;8;20;340.5;2400.0;5028.0;7137.5;13713.0;5003.57542178
ZigZagOverNSN;16;20;321.0;2271.5;4401.0;6601.75;12809.5;4679.27975545
ZigZagOverNaive;2;20;1367.0;11063.5;20005.0;27304.5;44716.5;19589.5718146
ZigZagOverNaive;4;20;1319.0;9528.0;18254.25;24127.0;44317.0;17521.3690248
ZigZagOverNaive;8;20;1059.5;9042.0;17423.5;23026.25;43446.0;16465.0514719
ZigZagOverNaive;16;20;718.0;9441.0;17173.5;23128.5;42313.5;16449.6763633
